Time,Xg,Yg,Zg,Xg_high,Yg_high,Zg_high,Pressure,Temperature,Altitude,BNO_X,BNO_Y,BNO_Z,BNO_I,BNO_J,BNO_K,BNO_Real,State,Airbrake_pct,Airbrake_dir,Predicted_Apogee,Cd_Add_Cmd,I2C_Fallback,I2C_FailCount,Potentiometer,Velocity,Target_Cd_Raw,Apo_No_Brakes,Apo_Max_Brakes,Armed,Max_Altitude,Max_Velocity,Max_Accel_g,Ignition_Time_ms,Apogee_Time_ms,Active_Target_Alt,Fallback_Tier,Fallback_Apo_At_Decision_M
24210,-0.06,1.06,-0.10,0.49,-1.03,0.05,935.83,21.70,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,0.00,0.0000,0.0,0.0,0,0.0,0.0,0.10,0,0,9144.0,1,0.0
24259,-0.06,1.06,-0.10,0.49,-0.98,0.20,935.84,21.70,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.02,0.0000,0.0,0.0,0,0.0,0.0,0.20,0,0,9144.0,1,0.0
24309,-0.04,1.09,-0.08,0.49,-1.08,0.15,935.80,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.03,0.0000,0.0,0.0,0,0.0,0.0,0.20,0,0,9144.0,1,0.0
24359,-0.01,1.18,-0.09,0.44,-1.13,0.10,935.85,21.70,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.05,0.0000,0.0,0.0,0,0.0,0.0,0.20,0,0,9144.0,1,0.0
24409,-0.13,1.03,-0.09,0.59,-0.98,0.15,935.88,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.06,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
24459,-0.10,1.01,-0.09,0.54,-0.93,0.15,935.86,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.08,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
24509,0.01,1.11,-0.08,0.39,-1.08,0.15,935.81,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.09,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
24559,-0.03,1.03,-0.08,0.49,-1.03,0.15,935.84,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.10,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
24609,-0.02,1.04,-0.08,0.49,-0.98,0.15,935.87,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.11,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
24659,-0.05,1.03,-0.10,0.49,-0.98,0.15,935.87,21.71,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,IDLE,0.0,1,0.00,0.0000,0,0,0,-0.13,0.0000,0.0,0.0,0,0.0,0.1,0.20,0,0,9144.0,1,0.0
